1,192,8.4,7.3,0.55,  apple
1,180,8,6.8,0.59, apple
1,176,7.4,7.2,0.6,apple
2,86,6.2,4.7,0.8,mandarin
2,84,6,4.6,0.79,mandarin
2,80,5.8,4.3,0.77,mandarin 
2,80,5.9,4.3,0.81,mandarin 
2,76,5.8,4,0.81,mandarin
1,178,7.1,7.8,0.92,apple
1,172,7.4,7,0.89,apple
1,166,6.9,7.3,0.93,apple
1,172,7.1,7.6,0.92,apple
1,154,7,7.1,0.88,apple
1,164,7.3,7.7,0.7,apple
1,152,7.6,7.3,0.69,apple
1,156,7.7,7.1,0.69,apple
1,156,7.6,7.5,0.67,apple
1,168,7.5,7.6,0.73,apple
1,162,7.5,7.1,0.83,apple
1,162,7.4,7.2,0.85,apple
1,160,7.5,7.5,0.86,apple
1,156,7.4,7.4,0.84,apple
1,140,7.3,7.1,0.87,apple
1,170,7.6,7.9,0.88,apple
3,342,9,9.4,0.75,orange
3,356,9.2,9.2,0.75,orange
3,362,9.6,9.2,0.74,orange
3,204,7.5,9.2,0.77,orange
3,140,6.7,7.1,0.72,orange
3,160,7,7.4,0.81,orange
3,158,7.1,7.5,0.79,orange
3,210,7.8,8,0.82,orange
3,164,7.2,7,0.8,orange
3,190,7.5,8.1,0.74,orange
3,142,7.6,7.8,0.75,orange
3,150,7.1,7.9,0.75,orange
3,160,7.1,7.6,0.76,orange
3,154,7.3,7.3,0.79,orange
3,158,7.2,7.8,0.77,orange
3,144,6.8,7.4,0.75,orange
3,154,7.1,7.5,0.78,orange
3,180,7.6,8.2,0.79,orange
3,154,7.2,7.2,0.82,orange
4,194,7.2,10.3,0.7,lemon
4,200,7.3,10.5,0.72,lemon
4,186,7.2,9.2,0.72,lemon
4,216,7.3,10.2,0.71,lemon
4,196,7.3,9.7,0.72,lemon
4,174,7.3,10.1,0.72,lemon
4,132,5.8,8.7,0.73,lemon
4,130,6,8.2,0.71,lemon
4,116,6,7.5,0.72,lemon
4,118,5.9,8,0.72,lemon
4,120,6,8.4,0.74,lemon
4,116,6.1,8.5,0.71,lemon
4,116,6.3,7.7,0.72,lemon
4,116,5.9,8.1,0.73,lemon
4,152,6.5,8.5,0.72,lemon
4,118,6.1,8.1,0.7,lemon
